Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_Limit,Junction_Detail,Junction_Control,Pedestrian_Crossing_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Road_Hazards,Vehicle_Reference.x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Pedestrian_Location,Car_Passenger,Bus_or_Coach_Passenger,Vehicle_Reference.y,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_in_Restricted_Lane,Skidding_and_Overturning,Hit_Object_on_Road,Vehicle_veer_off_Road,Hit_Object_off_Road,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_CC,Engine_Type,Age_of_Vehicle
200501CW11117,Serious,2,1,13/7/2005,Wednesday,19:36,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,32,Serious,Not pedestrian,None,None,2,Taxi/Grab,Going ahead,N,No,N,N,N,Job,M,62,2664,Heavy oil,14
200501CW11119,Slight,1,1,15/7/2005,Friday,22:15,One way street,30,Not at junction,NA,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Pedestrian,M,26,Slight,Footbridge,None,None,1,Goods Van,Going ahead,N,No,N,N,N,Unknown,M,34,2295,Bi-fuel,1
200501CW11120,Slight,2,1,16/7/2005,Saturday,19:30,Dual motorway ,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,18,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,18,NA,NA,NA
200501CW11120,Slight,2,1,16/7/2005,Saturday,19:30,Dual motorway ,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,18,Slight,Not pedestrian,None,None,2,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,F,-1,NA,NA,NA
200501CW11123,Slight,1,1,13/4/2005,Wednesday,15:00,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,25,Slight,Sidewalk,None,None,1,Taxi/Grab,Moving off,N,No,N,N,N,Job,M,-1,NA,NA,NA
200501CW11126,Slight,2,1,10/7/2005,Sunday,17:25,Single motorway,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,F,27,Slight,Not pedestrian,None,None,1,Bicycle,Waiting to/Turning right,N,No,N,N,N,Unknown,F,27,NA,NA,NA
200501CW11126,Slight,2,1,10/7/2005,Sunday,17:25,Single motorway,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,F,27,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW11127,Slight,2,1,12/7/2005,Tuesday,22:23,Single motorway,30,T-junction,Traffic light,Traffic light,Lights lit,Fine,Dry,None,None,2,1,Driver,M,22,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,28,1799,Petrol,8
200501CW11127,Slight,2,1,12/7/2005,Tuesday,22:23,Single motorway,30,T-junction,Traffic light,Traffic light,Lights lit,Fine,Dry,None,None,2,1,Driver,M,22,Slight,Not pedestrian,None,None,2,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,22,124,Petrol,3
200501CW11131,Slight,1,1,13/7/2005,Wednesday,16:38,Single motorway,30,Not at junction,NA,Non-junction pedestrian light crossing,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,58,Slight,Crossing on facility,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,40,998,Petrol,1
200501CW11132,Serious,1,1,14/5/2005,Saturday,12:27,Single motorway,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,50,Serious,Crossing on facility,None,None,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,46,7790,Heavy oil,2
200501CW11133,Slight,2,1,2/8/2005,Tuesday,16:00,Dual motorway ,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Passenger,M,41,Slight,Not pedestrian,Rear seat,None,1,Car,Moving off,N,No,N,N,N,Unknown,M,49,NA,NA,NA
200501CW11133,Slight,2,1,2/8/2005,Tuesday,16:00,Dual motorway ,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Passenger,M,41,Slight,Not pedestrian,Rear seat,None,2,Taxi/Grab,Waiting to/Turning right,N,No,N,N,N,Job,M,45,1800,LPG,12
200501CW11134,Serious,1,2,14/8/2005,Sunday,22:00,Single motorway,30,Not at junction,NA,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Driver,M,20,Serious,Not pedestrian,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,20,1595,Petrol,13
200501CW11134,Serious,1,2,14/8/2005,Sunday,22:00,Single motorway,30,Not at junction,NA,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,2,Passenger,M,20,Slight,Not pedestrian,Front seat,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,20,1595,Petrol,13
